window_index,window_start,y_window,recon_mse,NOTE
0,0,0,4.09527,
1,96,0,4.59228,
2,192,0,5.27720,
3,288,0,5.68328,
4,384,0,5.54525,
5,480,0,5.03060,
6,576,0,4.36922,
7,672,0,3.87297,
8,768,0,3.35816,
9,864,0,3.44252,
10,960,0,3.78101,
11,1056,0,4.150052576,
12,1152,0,4.243490424,
13,1248,0,4.019545547,
14,1344,0,3.482645458,
15,1440,0,2.944646499,
16,1536,0,3.037094079,
17,1632,0,3.354565956,
18,1728,0,3.668024288,
19,1824,0,4.172755039,
20,1920,1,3.855639677,
21,2016,1,3.89052358,
22,2112,1,4.511705307,
23,2208,1,4.039843933,
24,2304,1,3.06993838,
25,2400,1,2.70716877,
26,2496,0,2.980377484,
27,2592,0,3.323532223,
28,2688,0,3.044826005,
29,2784,0,2.688992742,
30,2880,0,2.414201413,
31,2976,0,2.446451314,
32,3072,0,2.583875007,
33,3168,0,2.616442293,
34,3264,0,2.852384979,
35,3360,0,2.865548787,
36,3456,0,2.00824814,
37,3552,0,1.482544394,
38,3648,0,1.518479917,
39,3744,0,1.959385232,
40,3840,0,2.121731845,
41,3936,0,2.190617211,
42,4032,0,2.414725436,
43,4128,0,2.363620115,
44,4224,0,1.711358002,
45,4320,0,1.286722325,
46,4416,1,2.151929017,
47,4512,1,4.347457298,
48,4608,1,5.454344567,
49,4704,1,4.228134865,
50,4800,1,2.577733541,
51,4896,1,2.147004786,
52,4992,1,1.217375056,
53,5088,1,0.827038106,
54,5184,0,1.005965381,
55,5280,0,1.186412242,
56,5376,0,1.474855292,
57,5472,0,1.773241387,
58,5568,0,1.545776757,
59,5664,0,1.042052617,
60,5760,0,0.766036307,
61,5856,0,0.610754925,
62,5952,0,0.71977605,
63,6048,0,1.003949248,
64,6144,0,1.01514521,
65,6240,0,0.937014865,
66,6336,0,0.821665085,
67,6432,0,0.76784323,
68,6528,0,0.671318787,
69,6624,0,0.638455292,
70,6720,0,0.94547325,
71,6816,0,1.479523063,
72,6912,0,0.99695239,
73,7008,0,0.528914364,
74,7104,0,0.464195832,
75,7200,0,0.559352941,
76,7296,0,0.531192483,
77,7392,0,0.598793135,
78,7488,0,0.933077733,
79,7584,0,1.152244706,
80,7680,0,0.545943969,
81,7776,0,0.346231705,
82,7872,0,0.410414086,
83,7968,0,0.371478141,
84,8064,1,1.139383221,
85,8160,1,2.381074685,
86,8256,1,0.825831287,
87,8352,1,1.871508311,
88,8448,1,0.774528198,
89,8544,1,0.285132767,
90,8640,1,0.910568153,
91,8736,1,1.48287919,
92,8832,1,0.869506138,
93,8928,1,0.712421103,
94,9024,0,1.20570161,
95,9120,0,0.818860147,
96,9216,0,0.282184749,
97,9312,0,0.177331743,
98,9408,0,0.317229507,
99,9504,0,0.427224575,
100,9600,0,0.302894312,
101,9696,0,0.201447924,
102,9792,0,0.360966934,
103,9888,0,0.532289709,
104,9984,0,0.429102107,
105,10080,0,0.227188479,
106,10176,0,0.212783748,
107,10272,0,0.388258972,
108,10368,0,0.487873715,
109,10464,0,0.338614827,
110,10560,0,0.28414747,
111,10656,0,0.36305076,
112,10752,1,0.550965501,
113,10848,1,0.71603087,
114,10944,1,0.798261464,
115,11040,1,0.55191605,
116,11136,1,0.546412461,
117,11232,0,0.703503736,
118,11328,0,0.646854324,
119,11424,0,0.454138995,
120,11520,0,0.35525276,
121,11616,0,0.492201613,
122,11712,0,0.604320006,
123,11808,0,0.580503693,
124,11904,0,0.606057013,
125,12000,0,0.631036341,
126,12096,0,0.546141219,
127,12192,0,0.475747417,
128,12288,0,0.450802173,
129,12384,0,0.50038163,
130,12480,0,0.603856772,
