example_idx,recon_mse,p_anomaly
0,4.320137,0.200593
2,2.540946,0.062429
5,2.681921,0.389020
7,2.946974,0.014206
10,3.174945,0.095263
13,3.443266,0.430998
15,3.283845,0.043401
18,3.548965,0.049560
21,3.441861,0.114527
23,4.099005,0.129144
26,3.815284,0.051980
29,4.917741,0.966936
31,4.316375,0.034716
34,4.412512,0.043002
37,6.701526,0.318972
39,5.957435,0.561751
42,4.456638,0.070613
45,5.772809,0.035912
47,7.240144,0.175610
50,5.312219,0.062090
53,6.017292,0.133185
55,5.892467,0.005428
58,5.778372,0.091829
61,6.598528,0.083182
