window_index,window_start,y_window,z1,z2,z3,z4,z5,z6,z7,z8,NOTE
0,0,0,1.981,0.000,0.000,0.303,1.377,3.885,0.000,0.554,
1,96,0,2.148,0.000,0.093,0.000,0.658,4.529,0.000,0.983,
2,192,0,2.098,0.000,0.402,0.000,0.286,5.127,0.000,1.256,
3,288,0,2.377,0.000,0.115,0.000,0.202,5.320,0.000,1.361,
4,384,0,2.556,0.000,0.000,0.000,0.745,5.062,0.000,1.427,
5,480,0,2.233,0.000,0.000,0.000,1.510,4.647,0.000,1.280,
6,576,0,1.667,0.000,0.000,0.914,2.034,3.898,0.000,0.775,
7,672,0,1.275,0.000,0.000,1.289,2.119,3.298,0.000,0.156,
8,768,0,1.481,0.000,0.000,0.883,1.675,3.069,0.000,0.000,
9,864,0,2.003,0.000,0.000,0.327,1.174,3.355,0.000,0.244,
10,960,0,2.165,0.000,0.132,0.000,0.806,3.893,0.000,0.656,
11,1056,0,2.464,0.000,0.000,0.000,0.618,4.274,0.000,1.087,
12,1152,0,2.563,0.000,0.000,0.000,0.716,4.246,0.000,1.374,
13,1248,0,2.159,0.000,0.000,0.000,1.071,4.129,0.000,1.329,
14,1344,0,1.598,0.000,0.000,0.237,1.240,3.735,0.000,0.927,
15,1440,0,1.390,0.000,0.000,0.380,1.149,3.257,0.000,0.429,
16,1536,0,1.295,0.000,0.469,0.225,1.151,3.306,0.000,0.233,
17,1632,0,1.857,0.000,0.509,0.000,0.960,3.627,0.000,0.569,
18,1728,0,2.423,0.000,0.000,0.000,0.553,4.005,0.000,0.879,
19,1824,0,2.881,0.000,0.000,0.000,0.618,4.320,0.000,1.457,
20,1920,1,2.426,0.000,0.000,0.000,0.260,4.352,0.000,1.298,
21,2016,1,0.931,0.000,0.000,0.666,0.254,3.591,0.228,0.064,
22,2112,1,0.252,0.000,0.000,0.719,0.000,2.919,0.969,0.000,
23,2208,1,0.000,0.000,0.000,0.704,0.193,2.568,1.148,0.000,
24,2304,1,0.000,0.000,0.000,0.780,0.899,2.503,0.448,0.000,
25,2400,1,1.288,0.000,0.000,0.000,1.270,2.655,0.424,0.000,
26,2496,0,2.277,0.000,0.038,0.000,0.883,3.233,0.262,0.443,
27,2592,0,3.002,0.000,0.000,0.000,0.595,3.600,0.200,1.057,
28,2688,0,2.858,0.000,0.000,0.000,0.533,3.368,0.000,1.419,
29,2784,0,2.238,0.000,0.000,0.000,0.301,3.081,0.000,1.368,
30,2880,0,1.475,0.000,0.000,0.000,0.116,2.930,0.000,0.944,
31,2976,0,0.758,0.000,0.195,0.297,0.530,3.170,0.000,0.529,
32,3072,0,0.655,0.000,0.836,0.054,0.892,3.341,0.000,0.329,
33,3168,0,1.319,0.000,0.763,0.000,0.994,3.502,0.000,0.594,
34,3264,0,2.322,0.000,0.472,0.000,1.258,3.512,0.019,1.161,
35,3360,0,2.803,0.000,0.000,0.000,1.240,3.217,0.192,1.592,
36,3456,0,2.415,0.000,0.000,0.048,0.643,2.316,0.000,1.233,
37,3552,0,1.499,0.000,0.000,0.395,0.072,1.790,0.000,0.648,
38,3648,0,0.526,0.000,0.000,0.802,0.147,2.127,0.000,0.180,
39,3744,0,0.051,0.000,0.756,0.728,0.505,2.680,0.000,0.047,
40,3840,0,0.229,0.000,1.061,0.000,0.728,2.999,0.000,0.040,
41,3936,0,1.015,0.288,0.978,0.000,0.870,3.327,0.000,0.427,
42,4032,0,2.175,0.094,0.643,0.000,0.910,3.421,0.166,0.979,
43,4128,0,2.841,0.000,0.000,0.000,0.756,2.999,0.270,1.433,
44,4224,0,2.537,0.000,0.000,0.000,0.326,2.033,0.000,1.165,
45,4320,0,1.779,0.000,0.000,0.132,0.000,1.302,0.000,0.685,
46,4416,1,0.000,0.000,0.042,1.277,1.154,1.179,0.000,0.445,
