window_index,window_start,y_window
0,0,0
1,96,0
2,192,0
3,288,0
4,384,0
5,480,0
6,576,0
7,672,0
8,768,0
9,864,0
10,960,0
11,1056,0
12,1152,0
13,1248,0
14,1344,0
15,1440,0
16,1536,0
17,1632,0
18,1728,0
19,1824,0
20,1920,1
21,2016,1
22,2112,1
23,2208,1
24,2304,1
25,2400,1
26,2496,0
27,2592,0
28,2688,0
29,2784,0
30,2880,0
31,2976,0
32,3072,0
33,3168,0
34,3264,0
35,3360,0
36,3456,0
37,3552,0
38,3648,0
39,3744,0
40,3840,0
41,3936,0
42,4032,0
43,4128,0
44,4224,0
45,4320,0
46,4416,1
47,4512,1
48,4608,1
49,4704,1
50,4800,1
51,4896,1
52,4992,1
53,5088,1
54,5184,0
55,5280,0
56,5376,0
57,5472,0
58,5568,0
59,5664,0
60,5760,0
61,5856,0
62,5952,0
63,6048,0
64,6144,0
65,6240,0
66,6336,0
67,6432,0
68,6528,0
69,6624,0
70,6720,0
71,6816,0
72,6912,0
73,7008,0
74,7104,0
75,7200,0
76,7296,0
77,7392,0
78,7488,0
79,7584,0
80,7680,0
81,7776,0
82,7872,0
83,7968,0
84,8064,1
85,8160,1
86,8256,1
87,8352,1
88,8448,1
89,8544,1
90,8640,1
91,8736,1
92,8832,1
93,8928,1
94,9024,0
95,9120,0
96,9216,0
97,9312,0
98,9408,0
99,9504,0
100,9600,0
101,9696,0
102,9792,0
103,9888,0
104,9984,0
105,10080,0
106,10176,0
107,10272,0
108,10368,0
109,10464,0
110,10560,0
111,10656,0
112,10752,1
113,10848,1
114,10944,1
115,11040,1
116,11136,1
117,11232,0
118,11328,0
119,11424,0
120,11520,0
121,11616,0
122,11712,0
123,11808,0
124,11904,0
125,12000,0
126,12096,0
127,12192,0
128,12288,0
129,12384,0
130,12480,0
131,12576,0
132,12672,0
133,12768,0
134,12864,0
135,12960,0
136,13056,0
137,13152,0
138,13248,0
139,13344,0
140,13440,0
141,13536,0
142,13632,0
143,13728,0
144,13824,0
145,13920,0
146,14016,0
147,14112,0
148,14208,0
149,14304,0
150,14400,0
151,14496,1
152,14592,1
153,14688,1
154,14784,1
155,14880,0
156,14976,0
157,15072,0
158,15168,0
159,15264,0
160,15360,0
161,15456,0
162,15552,0
163,15648,0
164,15744,0
165,15840,0
166,15936,0
167,16032,0
168,16128,0
169,16224,0
170,16320,0
171,16416,0
172,16512,0
173,16608,0
174,16704,0
175,16800,0
176,16896,0
177,16992,0
178,17088,0
179,17184,0
180,17280,0
181,17376,0
182,17472,0
183,17568,1
184,17664,1
185,17760,1
186,17856,1
187,17952,1
188,18048,1
189,18144,0
190,18240,0
191,18336,0
192,18432,0
193,18528,0
194,18624,0
195,18720,0
196,18816,1
197,18912,1
198,19008,1
199,19104,1
200,19200,1
201,19296,0
202,19392,0
203,19488,0
204,19584,0
205,19680,0
206,19776,0
207,19872,0
208,19968,0
209,20064,0
210,20160,0
211,20256,0
212,20352,0
213,20448,1
214,20544,1
215,20640,1
216,20736,1
217,20832,0
218,20928,0
219,21024,0
220,21120,0
221,21216,0
222,21312,1
223,21408,1
224,21504,1
225,21600,1
226,21696,0
227,21792,0
228,21888,0
229,21984,0
230,22080,1
231,22176,1
232,22272,1
233,22368,1
234,22464,1
235,22560,0
236,22656,0
237,22752,0
238,22848,0
239,22944,0
240,23040,0
241,23136,0
242,23232,0
243,23328,0
244,23424,0
245,23520,0
246,23616,0
247,23712,0
