window_start,n_points,H0_n,H0_total_persistence,H0_mean_lifetime,H0_entropy,H1_n,H1_total_persistence,H1_mean_lifetime,H1_entropy,H1_wasserstein_prev,H1_bottleneck_prev,NOTE
0,10,10,7.257,0.806,2.166,1,0.261,0.261,0.000,,,
960,10,10,4.671,0.519,2.152,1,0.114,0.114,0.000,0.265,0.130,
1920,10,10,8.938,0.993,2.136,1,0.002,0.002,0.000,0.082,0.057,
2880,10,10,9.436,1.048,2.182,2,0.756,0.378,0.690,0.536,0.204,
3840,10,10,11.399,1.267,2.190,1,0.290,0.290,0.000,0.739,0.204,
4800,10,10,7.829,0.870,2.113,0,0.000,0.000,0.000,0.205,0.145,
5760,10,10,5.505,0.612,2.165,1,0.464,0.464,0.000,0.328,0.232,
6720,10,10,7.064,0.785,2.178,1,0.160,0.160,0.000,0.441,0.232,
7680,10,10,10.575,1.175,2.106,1,0.107,0.107,0.000,0.188,0.080,
8640,10,10,9.296,1.033,2.156,1,0.181,0.181,0.000,0.203,0.091,
9600,10,10,6.094,0.677,2.166,1,0.072,0.072,0.000,0.179,0.091,
10560,10,10,5.284,0.587,2.171,1,0.032,0.032,0.000,0.036,0.036,
11520,10,10,7.723,0.858,2.179,1,0.581,0.581,0.000,0.434,0.291,
12480,10,10,6.991,0.777,2.163,1,0.669,0.669,0.000,0.077,0.076,
13440,10,10,6.615,0.735,2.112,1,0.022,0.022,0.000,0.489,0.335,
14400,10,10,5.495,0.611,2.066,0,0.000,0.000,0.000,0.015,0.011,
15360,10,10,3.705,0.412,2.163,2,0.058,0.029,0.656,0.041,0.019,
16320,10,10,4.762,0.529,2.178,1,0.133,0.133,0.000,0.135,0.066,
17280,10,10,10.840,1.204,2.157,1,0.106,0.106,0.000,0.169,0.066,
18240,10,10,7.759,0.862,2.150,2,0.398,0.199,0.301,0.357,0.181,
19200,10,10,6.386,0.710,2.169,1,0.155,0.155,0.000,0.391,0.181,
20160,10,10,8.635,0.959,2.110,1,0.527,0.527,0.000,0.482,0.263,
21120,10,10,6.711,0.746,2.147,1,0.124,0.124,0.000,0.460,0.263,
22080,10,10,6.834,0.759,2.103,1,0.029,0.029,0.000,0.108,0.062,
23040,8,8,4.645,0.664,1.922,1,0.190,0.190,0.000,0.155,0.095,
