grid,normal_betti_H0,normal_betti_H1,anom_betti_H0,anom_betti_H1,NOTE
0.00000,190,0,56,0,
0.01374,190,0,56,0,
0.02747,190,0,56,0,
0.04121,190,0,56,0,
0.05494,190,0,56,0,
0.06868,190,0,56,0,
0.08241,190,0,56,0,
0.09615,190,0,56,0,
0.10988,190,0,56,0,
0.12362,190,0,56,0,
0.137351024,189,0,56,0,
0.151086126,187,0,55,0,
0.164821228,185,0,55,0,
0.178556331,183,0,54,0,
0.192291433,181,0,53,0,
0.206026535,181,0,52,0,
0.219761638,179,0,52,0,
0.23349674,175,0,52,0,
0.247231842,171,0,52,0,
0.260966945,169,0,51,0,
0.274702047,167,0,51,0,
0.288437149,166,0,49,0,
0.302172252,163,1,49,0,
0.315907354,161,1,49,0,
0.329642456,157,1,48,0,
0.343377559,155,0,47,0,
0.357112661,149,0,45,0,
0.370847764,146,0,42,0,
0.384582866,136,1,42,0,
0.398317968,133,1,42,0,
0.412053071,130,2,38,0,
0.425788173,128,1,36,0,
0.439523275,122,2,33,0,
0.453258378,118,1,32,0,
0.46699348,109,1,30,0,
0.480728582,105,2,30,0,
0.494463685,97,2,29,0,
0.508198787,92,2,28,0,
0.521933889,86,1,27,0,
0.535668992,81,3,26,0,
0.549404094,76,2,25,0,
0.563139196,72,4,24,0,
0.576874299,69,5,24,0,
0.590609401,66,6,24,1,
0.604344504,60,6,23,1,
0.618079606,57,4,19,2,
0.631814708,52,3,17,2,
0.645549811,50,4,16,2,
0.659284913,46,6,13,3,
0.673020015,43,8,12,1,
0.686755118,39,9,10,1,
0.70049022,35,10,8,1,
0.714225322,29,10,7,4,
0.727960425,27,8,7,5,
0.741695527,25,9,6,5,
0.755430629,24,11,5,4,
0.769165732,21,13,5,4,
0.782900834,18,17,3,5,
0.796635936,18,16,3,3,
0.810371039,17,16,2,3,
0.824106141,15,12,2,3,
0.837841243,13,12,2,2,
0.851576346,10,13,2,2,
0.865311448,10,9,2,2,
0.879046551,6,11,2,1,
0.892781653,6,7,2,1,
0.906516755,5,7,1,2,
0.920251858,5,9,1,2,
0.93398696,5,9,1,3,
0.947722062,5,8,1,3,
0.961457165,4,8,1,1,
0.975192267,3,8,1,1,
0.988927369,2,8,1,1,
1.002662472,2,10,1,1,
1.016397574,1,10,1,1,
1.030132676,1,10,1,1,
1.043867779,0,10,1,1,
1.057602881,0,10,1,1,
1.071337983,0,8,1,1,
1.085073086,0,7,1,1,
1.098808188,0,6,0,1,
1.112543291,0,6,0,1,
1.126278393,0,9,0,1,
1.140013495,0,8,0,0,
1.153748598,0,6,0,0,
1.1674837,0,6,0,0,
1.181218802,0,7,0,0,
1.194953905,0,6,0,0,
1.208689007,0,5,0,0,
1.222424109,0,5,0,0,
1.236159212,0,5,0,0,
1.249894314,0,4,0,1,
1.263629416,0,4,0,2,
1.277364519,0,3,0,1,
1.291099621,0,1,0,1,
1.304834723,0,0,0,0,
