cand_index,p_anomaly,uncertainty,stress_proxy,tda_delta_score,final_score,selected
141,0.87078,0.25844,1.84667,1.08E+11,2.15E+10,True
93,0.85799,0.28402,1.15748,6.11E+10,1.22E+10,True
123,0.26793,0.53587,0.72290,3.54E+10,7.09E+09,True
148,0.81929,0.36142,1.50701,1.76E+10,3.52E+09,True
11,0.24231,0.48462,0.62219,1.58E+10,3.16E+09,True
36,0.05740,0.11480,1.15652,7.99E+09,1.60E+09,True
132,0.27280,0.54559,0.73332,6.96E+09,1.39E+09,True
99,0.59416,0.81167,1.41724,0.00E+00,1.05E+00,True
128,0.76011,0.47978,1.85949,0.00E+00,1.03E+00,True
146,0.80919,0.38162,2.00052,0.00E+00,1.03E+00,True
85,0.75236,0.49528,1.66179,0.00E+00,9.62E-01,True
12,0.90615,0.18770,1.92138,0.00E+00,8.81E-01,True
89,0.77044,0.45911,1.46414,0.00E+00,8.61E-01,True
15,0.79908,0.40184,1.53884,0.00E+00,8.57E-01,True
109,0.74012,0.51976,1.13850,0.00E+00,7.67E-01,True
0,0.87347,0.25306,1.48122,0.00E+00,7.44E-01,True
154,0.43647,0.87294,0.42406,0.00E+00,6.93E-01,True
112,0.66717,0.66565,0.68689,0.00E+00,6.74E-01,True
16,0.16934,0.33869,1.17254,0.00E+00,6.72E-01,True
102,0.02532,0.05065,1.56092,0.00E+00,6.55E-01,True
57,0.15516,0.31031,1.10516,0.00E+00,6.28E-01,True
40,0.84357,0.31286,1.08454,0.00E+00,6.22E-01,True
114,0.23810,0.47619,0.79881,0.00E+00,6.05E-01,True
153,0.70453,0.59095,0.58409,0.00E+00,5.88E-01,True
83,0.87396,0.25209,1.07545,0.00E+00,5.81E-01,True
111,0.23572,0.47145,0.67449,0.00E+00,5.53E-01,True
133,0.78694,0.42611,0.73945,0.00E+00,5.51E-01,True
73,0.74365,0.51269,0.60942,0.00E+00,5.51E-01,True
131,0.79630,0.40741,0.74938,0.00E+00,5.44E-01,True
32,0.64696,0.70608,0.28542,0.00E+00,5.38E-01,True
4,0.75159,0.49682,0.59488,0.00E+00,5.36E-01,True
98,0.22488,0.44976,0.63548,0.00E+00,5.24E-01,True
48,0.66596,0.66807,0.23816,,4.96E-01,True
30,0.03885,0.07770,1.11166,,4.91E-01,True
145,0.81844,0.36313,0.67516,,4.88E-01,True
43,0.02755,0.05510,1.12735,,4.84E-01,True
62,0.65490,0.69020,0.12986,,4.66E-01,True
7,0.10124,0.20249,0.85591,,4.64E-01,True
52,0.28340,0.56680,0.29153,,4.57E-01,True
75,0.05430,0.10859,0.93900,,4.41E-01,True
27,0.05079,0.10157,0.91633,,4.27E-01,True
110,0.82998,0.34004,0.54272,,4.21E-01,True
143,0.65764,0.68472,0.00810,,4.14E-01,True
79,0.10234,0.20469,0.72628,,4.13E-01,True
125,0.01749,0.03497,0.96000,,4.05E-01,True
116,0.01061,0.02122,0.98012,,4.05E-01,True
25,0.92394,0.15212,0.78055,,4.03E-01,True
91,0.82943,0.34115,0.47298,,3.94E-01,True
44,0.06854,0.13709,0.76704,,3.89E-01,True
68,0.11965,0.23929,0.60502,,3.86E-01,True
71,0.33253,0.66505,-0.08625,,3.65E-01,True
126,0.79121,0.41758,0.24383,,3.48E-01,True
136,0.35948,0.71896,-0.21294,,3.46E-01,True
2,0.13828,0.27655,0.43804,,3.41E-01,True
65,0.26006,0.52011,0.06453,,3.38E-01,True
156,0.08089,0.16178,0.57732,,3.28E-01,True
6,0.73648,0.52704,0.00761,,3.19E-01,True
31,0.89108,0.21784,0.47097,,3.19E-01,True
134,0.44527,0.89053,-0.55854,,3.11E-01,True
96,0.84260,0.31480,0.30292,,3.10E-01,True
74,0.02014,0.04028,0.70678,,3.07E-01,True
22,0.81573,0.36853,0.20047,,3.01E-01,True
103,0.80059,0.39882,0.14435,,2.97E-01,True
60,0.91535,0.16930,0.47994,,2.94E-01,True
47,0.00730,0.01461,0.70164,,2.89E-01,True
144,0.40271,0.80543,-0.50865,,2.80E-01,True
17,0.05340,0.10679,0.53612,,2.79E-01,True
37,0.83124,0.33752,0.18939,,2.78E-01,True
122,0.06822,0.13644,0.48194,,2.75E-01,True
64,0.55198,0.89605,-0.67600,,2.67E-01,True
28,0.20182,0.40365,0.04085,,2.59E-01,True
39,0.13896,0.27792,0.21553,,2.53E-01,True
46,0.50664,0.98671,-0.85825,,2.49E-01,True
124,0.30823,0.61645,-0.30344,,2.48E-01,True
117,0.09934,0.19869,0.31171,,2.44E-01,True
118,0.05151,0.10302,0.44389,,2.39E-01,True
72,0.07333,0.14667,0.37723,,2.39E-01,True
142,0.43588,0.87176,-0.75991,,2.19E-01,True
108,0.03252,0.06504,0.42805,,2.10E-01,True
24,0.77445,0.45109,-0.17264,,2.02E-01,True
147,0.77460,0.45079,-0.18336,,1.97E-01,True
41,0.01815,0.03630,0.43227,,1.95E-01,True
140,0.24124,0.48248,-0.25198,,1.89E-01,True
107,0.20645,0.41291,-0.15279,,1.87E-01,True
155,0.39769,0.79537,-0.74409,,1.80E-01,True
10,0.27785,0.55570,-0.39387,,1.76E-01,True
77,0.06026,0.12052,0.24731,,1.71E-01,True
150,0.79269,0.41461,-0.20117,,1.68E-01,True
5,0.17468,0.34936,-0.10875,,1.66E-01,True
137,0.09356,0.18712,0.13430,,1.66E-01,True
120,0.03522,0.07045,0.30201,,1.63E-01,True
69,0.05741,0.11482,0.22826,,1.60E-01,True
80,0.33584,0.67169,-0.63575,,1.49E-01,True
54,0.11287,0.22574,0.03044,,1.48E-01,True
8,0.09898,0.19797,-0.05270,,9.77E-02,True
