grid,normal_betti_H0,normal_betti_H1,anom_betti_H0,anom_betti_H1,NOTE
0,76,0,42,0,
0.0473,76,0,42,0,
0.0946,76,0,42,0,
0.1418,76,0,42,0,
0.1891,76,0,42,0,
0.2364,76,0,42,0,
0.2837,76,0,42,0,
0.331,76,0,42,0,
0.3783,76,0,42,0,
0.4255,76,0,42,0,
0.4728,76,0,42,0,
0.5201,76,0,42,0,
0.5674,76,0,42,0,
0.6147,76,0,42,0,
0.6619,76,0,41,0,
0.7092,76,0,41,0,
0.7565,75,0,40,0,
0.8038,73,0,39,0,
0.8511,71,0,39,0,
0.8984,71,0,38,0,
0.9456,71,0,37,0,
0.9929,71,0,33,0,
1.0402,69,0,31,0,
1.0875,67,0,28,0,
1.1348,66,0,27,0,
1.182,62,0,23,0,
1.2293,59,0,22,0,
1.2766,56,0,22,0,
1.3239,53,0,20,0,
1.3712,51,0,19,0,
1.4185,45,0,18,0,
1.4657,44,1,17,0,
1.513,42,1,16,0,
1.5603,39,0,14,0,
1.6076,35,0,14,0,
1.6549,34,0,14,0,
1.7021,33,0,14,0,
1.7494,30,0,14,0,
1.7967,29,1,14,0,
1.844,27,1,13,0,
1.8913,24,1,13,0,
1.9386,20,1,13,0,
1.9858,17,3,13,0,
2.0331,14,3,12,0,
2.0804,14,2,12,0,
2.1277,12,2,11,0,
2.175,10,4,11,0,
2.2222,9,3,10,0,
2.2695,8,4,9,0,
2.3168,8,4,9,0,
2.3641,6,2,9,0,
2.4114,6,3,8,0,
2.4586,6,3,8,0,
2.5059,5,4,6,0,
2.5532,4,4,6,0,
2.6005,3,4,6,0,
2.6478,3,6,6,0,
2.6951,3,6,6,0,
2.7423,3,5,6,0,
2.7896,3,5,6,0,
2.8369,3,6,6,0,
2.8842,2,6,5,0,
2.9315,2,6,4,0,
2.9787,1,4,3,0,
3.026,1,3,3,0,
3.0733,1,3,2,0,
3.1206,1,2,2,0,
3.1679,1,1,1,0,
3.2152,1,1,1,0,
3.2624,1,1,1,0,
3.3097,1,2,1,0,
3.357,1,1,1,0,
3.4043,1,2,1,0,
3.4516,0,2,1,0,
3.4988,0,2,1,0,
3.5461,0,1,1,1,
3.5934,0,1,1,1,
3.6407,0,1,1,1,
3.688,0,1,1,1,
3.7353,0,1,1,1,
3.7825,0,2,1,1,
3.8298,0,2,1,0,
3.8771,0,2,1,0,
3.9244,0,2,1,0,
3.9717,0,1,1,1,
4.0189,0,1,1,0,
4.0662,0,1,1,1,
4.1135,0,1,1,0,
4.1608,0,1,1,0,
4.2081,0,1,1,0,
4.2554,0,1,1,0,
4.3026,0,1,1,0,
4.3499,0,1,1,0,
4.3972,0,1,1,0,
4.4445,0,1,0,0,
4.4918,0,0,0,0,
