feature,importance_mean,importance_std,NOTE
x4_std,0.087097,0.016448,
x1_std,0.077419,0.006452,
x5_std,0.074194,0.021878,
x6_std,0.058065,0.019355,
x2_std,0.035484,0.012070,
x3_std,0.022581,0.007902,
x3_slope,0.016129,0.010201,
x1_slope,0.012903,0.006452,
x1_max,0.006452,0.007902,
x2_slope,0.003226,0.006452,
x6_slope,0.003226,0.006452,
x4_slope,0.003226,0.006452,
x5_max,0.003226,0.006452,
x6_mean,0,0,
x2_min,0,0,
x1_min,0,0,
x1_mean,0,0,
x2_mean,0,0,
x3_mean,0,0,
x4_mean,0,0,
x5_mean,0,0,
x3_min,0,0,
x4_max,0,0,
x3_max,0,0,
x2_max,0,0,
x6_min,0,0,
x4_min,0,0,
x5_min,0,0,
x6_max,0,0,
x5_slope,0,0,
