threshold,precision,recall,f1,tp,fp,tn,fn
0,0.33871,1.00000,0.50602,21,41,0,0
0.01,0.35000,1.00000,0.51852,21,39,2,0
0.02,0.36364,0.95238,0.52632,20,35,6,1
0.03,0.38462,0.95238,0.54795,20,32,9,1
0.04,0.39583,0.90476,0.55072,19,29,12,2
0.05,0.42857,0.85714,0.57143,18,24,17,3
0.06,0.45000,0.85714,0.59016,18,22,19,3
0.07,0.44444,0.76190,0.56140,16,20,21,5
0.08,0.48485,0.76190,0.59259,16,17,24,5
0.09,0.53333,0.76190,0.62745,16,14,27,5
0.1,0.555555556,0.714285714,0.625,15,12,29,6
0.11,0.565217391,0.619047619,0.590909091,13,10,31,8
0.12,0.65,0.619047619,0.634146341,13,7,34,8
0.13,0.684210526,0.619047619,0.65,13,6,35,8
0.14,0.764705882,0.619047619,0.684210526,13,4,37,8
0.15,0.764705882,0.619047619,0.684210526,13,4,37,8
0.16,0.764705882,0.619047619,0.684210526,13,4,37,8
0.17,0.75,0.571428571,0.648648649,12,4,37,9
0.18,0.785714286,0.523809524,0.628571429,11,3,38,10
0.19,0.785714286,0.523809524,0.628571429,11,3,38,10
0.2,0.785714286,0.523809524,0.628571429,11,3,38,10
0.21,0.769230769,0.476190476,0.588235294,10,3,38,11
0.22,0.769230769,0.476190476,0.588235294,10,3,38,11
0.23,0.769230769,0.476190476,0.588235294,10,3,38,11
0.24,0.769230769,0.476190476,0.588235294,10,3,38,11
0.25,0.769230769,0.476190476,0.588235294,10,3,38,11
0.26,0.769230769,0.476190476,0.588235294,10,3,38,11
0.27,0.769230769,0.476190476,0.588235294,10,3,38,11
0.28,0.769230769,0.476190476,0.588235294,10,3,38,11
0.29,0.769230769,0.476190476,0.588235294,10,3,38,11
0.3,0.769230769,0.476190476,0.588235294,10,3,38,11
0.31,0.769230769,0.476190476,0.588235294,10,3,38,11
0.32,0.75,0.428571429,0.545454545,9,3,38,12
0.33,0.75,0.428571429,0.545454545,9,3,38,12
0.34,0.8,0.380952381,0.516129032,8,2,39,13
0.35,0.8,0.380952381,0.516129032,8,2,39,13
0.36,0.8,0.380952381,0.516129032,8,2,39,13
0.37,0.8,0.380952381,0.516129032,8,2,39,13
0.38,0.8,0.380952381,0.516129032,8,2,39,13
0.39,0.888888889,0.380952381,0.533333333,8,1,40,13
0.4,0.888888889,0.380952381,0.533333333,8,1,40,13
0.41,0.888888889,0.380952381,0.533333333,8,1,40,13
0.42,0.888888889,0.380952381,0.533333333,8,1,40,13
0.43,0.888888889,0.380952381,0.533333333,8,1,40,13
0.44,0.875,0.333333333,0.482758621,7,1,40,14
0.45,0.875,0.333333333,0.482758621,7,1,40,14
0.46,0.875,0.333333333,0.482758621,7,1,40,14
0.47,0.875,0.333333333,0.482758621,7,1,40,14
0.48,0.875,0.333333333,0.482758621,7,1,40,14
0.49,1,0.333333333,0.5,7,0,41,14
0.5,1,0.333333333,0.5,7,0,41,14
0.51,1,0.333333333,0.5,7,0,41,14
0.52,1,0.333333333,0.5,7,0,41,14
0.53,1,0.285714286,0.444444444,6,0,41,15
0.54,1,0.285714286,0.444444444,6,0,41,15
0.55,1,0.285714286,0.444444444,6,0,41,15
0.56,1,0.285714286,0.444444444,6,0,41,15
0.57,1,0.238095238,0.384615385,5,0,41,16
0.58,1,0.238095238,0.384615385,5,0,41,16
0.59,1,0.238095238,0.384615385,5,0,41,16
0.6,1,0.238095238,0.384615385,5,0,41,16
0.61,1,0.238095238,0.384615385,5,0,41,16
0.62,1,0.238095238,0.384615385,5,0,41,16
0.63,1,0.238095238,0.384615385,5,0,41,16
0.64,1,0.238095238,0.384615385,5,0,41,16
0.65,1,0.238095238,0.384615385,5,0,41,16
0.66,1,0.238095238,0.384615385,5,0,41,16
0.67,1,0.238095238,0.384615385,5,0,41,16
0.68,1,0.238095238,0.384615385,5,0,41,16
0.69,1,0.238095238,0.384615385,5,0,41,16
0.7,1,0.238095238,0.384615385,5,0,41,16
0.71,1,0.238095238,0.384615385,5,0,41,16
0.72,1,0.238095238,0.384615385,5,0,41,16
0.73,1,0.238095238,0.384615385,5,0,41,16
0.74,1,0.238095238,0.384615385,5,0,41,16
0.75,1,0.238095238,0.384615385,5,0,41,16
0.76,1,0.238095238,0.384615385,5,0,41,16
0.77,1,0.238095238,0.384615385,5,0,41,16
0.78,1,0.19047619,0.32,4,0,41,17
0.79,1,0.142857143,0.25,3,0,41,18
0.8,1,0.142857143,0.25,3,0,41,18
0.81,1,0.142857143,0.25,3,0,41,18
0.82,1,0.142857143,0.25,3,0,41,18
0.83,1,0.142857143,0.25,3,0,41,18
0.84,1,0.142857143,0.25,3,0,41,18
0.85,1,0.142857143,0.25,3,0,41,18
0.86,1,0.142857143,0.25,3,0,41,18
0.87,1,0.142857143,0.25,3,0,41,18
0.88,1,0.095238095,0.173913043,2,0,41,19
0.89,1,0.095238095,0.173913043,2,0,41,19
0.9,1,0.095238095,0.173913043,2,0,41,19
0.91,1,0.095238095,0.173913043,2,0,41,19
0.92,1,0.095238095,0.173913043,2,0,41,19
0.93,1,0.095238095,0.173913043,2,0,41,19
0.94,1,0.095238095,0.173913043,2,0,41,19
0.95,1,0.095238095,0.173913043,2,0,41,19
0.96,1,0.095238095,0.173913043,2,0,41,19
0.97,1,0.047619048,0.090909091,1,0,41,20
0.98,0,0,0,0,0,41,21
0.99,0,0,0,0,0,41,21
1,0,0,0,0,0,41,21
